CustomerID,datetime,NormDelta,AbsDelta,Leaders,Demand
delta,2017-01-01 00:00,-0.03325,-0.03845,0.17750,1.15936
delta,2017-01-01 00:15,-0.09177,-0.10613,0.16620,1.15568
delta,2017-01-01 00:30,-0.12238,-0.14152,0.16237,1.16688
delta,2017-01-01 00:45,-0.04814,-0.05567,0.17637,1.16944
delta,2017-01-01 01:00,-0.06403,-0.07405,0.17173,1.15852
delta,2017-01-01 01:15,-0.05757,-0.06658,0.17302,1.15919
delta,2017-01-01 01:30,-0.05359,-0.06197,0.17372,1.15900
delta,2017-01-01 01:45,-0.03944,-0.04561,0.17700,1.16336
delta,2017-01-01 02:00,-0.11506,-0.13306,0.16383,1.16764
delta,2017-01-01 02:15,-0.08147,-0.09421,0.16988,1.16700
delta,2017-01-01 02:30,-0.06152,-0.07114,0.17086,1.15012
delta,2017-01-01 02:45,-0.08800,-0.10177,0.16689,1.15567
delta,2017-01-01 03:00,-0.02949,-0.03410,0.17938,1.16688
delta,2017-01-01 03:15,-0.08135,-0.09408,0.16921,1.16264
delta,2017-01-01 03:30,-0.04103,-0.04745,0.17197,1.13344
delta,2017-01-01 03:45,-0.06427,-0.07432,0.17296,1.16656
delta,2017-01-01 04:00,-0.03566,-0.04124,0.17652,1.15595
delta,2017-01-01 04:15,-0.10261,-0.11866,0.16905,1.18620
delta,2017-01-01 04:30,-0.07732,-0.08942,0.17565,1.19864
delta,2017-01-01 04:45,-0.10066,-0.11641,0.16933,1.18572
delta,2017-01-01 05:00,-0.11832,-0.13683,0.16961,1.20792
delta,2017-01-01 05:15,-0.07164,-0.08285,0.17766,1.20476
delta,2017-01-01 05:30,-0.11718,-0.13551,0.16678,1.18872
delta,2017-01-01 05:45,-0.04853,-0.05612,0.18060,1.19660
delta,2017-01-01 06:00,-0.10359,-0.11979,0.17248,1.20900
delta,2017-01-01 06:15,0.01018,0.01177,0.19334,1.20916
delta,2017-01-01 06:30,-0.03283,-0.03797,0.18763,1.22284
delta,2017-01-01 06:45,0.01981,0.02291,0.19414,1.20308
delta,2017-01-01 07:00,0.03427,0.03963,0.19416,1.18648
