CustomerID,datetime,AggrDmnd,DailyAverage,NormDmnd,AvgDemand
group,1/1/2017 0:00,140.5,172.68675,140.5,140.5
group,1/1/2017 0:15,134.44,172.68675,134.44,134.44
group,1/1/2017 0:30,132.84,172.68675,132.84,132.84
group,1/1/2017 0:45,131.85,172.68675,131.85,131.85
group,1/1/2017 1:00,136.84,172.68675,136.84,136.84
group,1/1/2017 1:15,132.43,172.68675,132.43,132.43
group,1/1/2017 1:30,130.57,172.68675,130.57,130.57
group,1/1/2017 1:45,135.32,172.68675,135.32,135.32
group,1/1/2017 2:00,139.08,172.68675,139.08,139.08
group,1/1/2017 2:15,132.23,172.68675,132.23,132.23
group,1/1/2017 2:30,129.85,172.68675,129.85,129.85
group,1/1/2017 2:45,130.06,172.68675,130.06,130.06
group,1/1/2017 3:00,133.61,172.68675,133.61,133.61
group,1/1/2017 3:15,135.4,172.68675,135.4,135.4
group,1/1/2017 3:30,129.5,172.68675,129.5,129.5
group,1/1/2017 3:45,133.71,172.68675,133.71,133.71
group,1/1/2017 4:00,131.71,172.68675,131.71,131.71
group,1/1/2017 4:15,139.18,172.68675,139.18,139.18
group,1/1/2017 4:30,134.18,172.68675,134.18,134.18
group,1/1/2017 4:45,136.89,172.68675,136.89,136.89
group,1/1/2017 5:00,135.34,172.68675,135.34,135.34
group,1/1/2017 5:15,140.51,172.68675,140.51,140.51
group,1/1/2017 5:30,138.26,172.68675,138.26,138.26
group,1/1/2017 5:45,140.34,172.68675,140.34,140.34
group,1/1/2017 6:00,132.98,172.68675,132.98,132.98
group,1/1/2017 6:15,139.63,172.68675,139.63,139.63
group,1/1/2017 6:30,143.99,172.68675,143.99,143.99
group,1/1/2017 6:45,135.39,172.68675,135.39,135.39
group,1/1/2017 7:00,140.3,172.68675,140.3,140.3
group,1/1/2017 7:15,139.25,172.68675,139.25,139.25
group,1/1/2017 7:30,139.99,172.68675,139.99,139.99
group,1/1/2017 7:45,138.38,172.68675,138.38,138.38
group,1/1/2017 8:00,144.45,172.68675,144.45,144.45
group,1/1/2017 8:15,144.26,172.68675,144.26,144.26
