,Demand,DemandCharge,EnergyCharge,FacilityCharge,TotalCharge,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge
month,entire year,entire year,entire year,entire year,entire year,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
CustomerID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12KLA,218769.60,9258.82,16640.34,14237.44,40136.59,12036.80,11413.60,16055.20,16568.80,18485.60,21676.80,25563.20,28080.00,21048.80,17597.60,13782.40,16460.80,0,0,0,0,0,2307.10,2382.11,2294.85,2274.75,0,0,0,851.98,810.88,1155.66,1185.58,1322.53,1803.59,2096.26,2290.08,1728.72,1254.73,985.32,1155.02,915.26,915.26,1118.66,1067.81,1169.50,1372.90,1423.74,1372.90,1525.44,1372.90,1067.81,915.26,1767.25,1726.14,2274.32,2253.39,2492.03,5483.59,5902.11,5957.82,5528.91,2627.62,2053.12,2070.28
A23JC7,299396.80,7911.62,22352.81,14745.92,45010.35,24076.80,23228.80,27620.80,25750.40,25697.60,25652.80,27112.00,28152.00,27801.60,24832.00,19865.60,19606.40,0,0,0,0,0,1821.76,1846.27,1996.29,2247.30,0,0,0,1698.51,1637.37,1960.57,1812.00,1821.53,2088.08,2161.83,2337.46,2237.06,1775.27,1422.97,1400.17,1118.66,1220.35,1220.35,1016.96,1220.35,1118.66,1118.66,1220.35,1423.74,1627.14,1220.35,1220.35,2817.17,2857.72,3180.92,2828.96,3041.89,5028.50,5126.76,5554.10,5908.10,3402.41,2643.32,2620.52
A2FDPW,433777.60,14142.18,32569.15,21305.31,68016.63,34263.20,28894.40,33761.60,31838.40,34318.40,39432.80,45428.80,47272.00,39585.60,38066.40,30452.80,30463.20,0,0,0,0,0,3219.46,3294.46,3983.26,3644.99,0,0,0,2401.49,2032.15,2402.52,2251.07,2443.98,3294.49,3660.13,3935.35,3169.92,2701.33,2146.75,2129.96,1322.05,1322.05,1728.83,1525.44,1677.98,1983.07,2033.92,2542.40,2288.16,2135.62,1525.44,1220.35,3723.53,3354.20,4131.35,3776.51,4121.97,8497.02,8988.51,10461.02,9103.07,4836.95,3672.19,3350.31
A2NRC2,264062.00,9945.90,20309.81,16373.06,46628.77,21230.80,18939.20,21253.20,20591.60,20504.00,23859.60,28031.20,26179.20,22000.80,23097.20,18416.00,19959.20,0,0,0,0,0,2484.58,2634.59,2460.06,2366.67,0,0,0,1516.40,1351.86,1526.39,1467.63,1473.93,2058.03,2356.91,2272.87,1882.46,1662.88,1320.11,1420.36,1194.93,1093.23,1220.35,1220.35,1296.62,1576.29,1677.98,1576.29,1525.44,1627.14,1245.78,1118.66,2711.32,2445.09,2746.74,2687.98,2770.55,6118.89,6669.49,6309.23,5774.57,3290.02,2565.89,2539.02
A2TLKW,212901.60,6727.92,16467.85,12000.13,35195.90,14084.00,13227.20,15849.20,15614.00,17216.00,22299.60,21557.60,21737.60,19248.80,19763.20,16779.60,15524.80,0,0,0,0,0,1736.70,1736.70,1630.32,1624.19,0,0,0,1010.45,949.42,1141.23,1118.93,1238.24,1899.37,1826.36,1899.80,1628.99,1427.86,1210.09,1117.10,635.60,686.45,966.11,1067.81,1093.23,1144.08,1144.08,1118.66,1093.23,1067.81,1016.96,966.11,1646.05,1635.87,2107.35,2186.74,2331.48,4780.16,4707.15,4648.78,4346.42,2495.67,2227.05,2083.21
A4OKEM,279694.80,8372.21,21287.84,15330.67,44990.72,25627.20,22479.60,23976.00,21673.20,23190.00,22354.80,23458.80,25408.80,23274.00,24656.40,21589.20,22006.80,0,0,0,0,0,2004.62,2041.39,2172.29,2153.90,0,0,0,1845.44,1611.01,1722.58,1545.80,1663.00,1900.04,1956.44,2190.78,1949.13,1778.18,1551.58,1573.86,1449.17,1296.62,1144.08,1067.81,1067.81,1296.62,1296.62,1372.90,1372.90,1677.98,1144.08,1144.08,3294.61,2907.63,2866.66,2613.61,2730.81,5201.29,5294.46,5735.97,5475.93,3456.16,2695.66,2717.94
A59L80,317275.87,10618.03,24606.40,17796.80,53021.23,25803.47,21801.60,25684.80,21575.60,24596.80,28668.40,31557.20,35317.60,28224.80,28084.00,23002.40,22959.20,0,0,0,0,0,2528.21,2646.11,2734.11,2709.60,0,0,0,1843.41,1562.97,1855.20,1554.55,1780.98,2508.20,2699.05,3052.64,2420.99,2029.50,1658.02,1640.88,1372.90,1525.44,1372.90,1220.35,1347.47,1601.71,1652.56,1728.83,1855.95,1677.98,1245.78,1194.93,3216.31,3088.41,3228.09,2774.90,3128.45,6638.12,6997.73,7515.59,6986.54,3707.49,2903.80,2835.81
A79TN0,242312.00,7553.25,18354.67,13067.94,38975.86,17796.00,16466.40,19527.20,19297.60,19508.00,20518.40,24296.00,24649.60,21803.20,22956.00,18301.60,17192.00,0,0,0,0,0,1772.74,1847.74,2010.02,1922.75,0,0,0,1262.84,1171.03,1402.11,1373.11,1398.49,1737.05,1984.99,2074.35,1785.56,1640.95,1304.74,1219.47,864.42,1016.96,966.11,1016.96,1067.81,1118.66,1169.50,1271.20,1220.35,1322.05,1169.50,864.42,2127.26,2187.99,2368.22,2390.07,2466.29,4628.44,5002.24,5355.56,4928.66,2963.00,2474.24,2083.88
A8X46D,353691.20,11104.61,26757.96,19017.15,56879.72,25581.60,23364.00,28665.60,27201.60,29433.60,32588.80,36795.20,37327.20,31273.60,30649.60,26774.40,24036.00,0,0,0,0,0,2747.84,2747.84,2885.60,2723.33,0,0,0,1807.22,1652.01,2051.03,1934.70,2102.50,2737.30,2992.07,3151.65,2552.49,2185.15,1896.46,1695.37,1372.90,1322.05,1474.59,1423.74,1525.44,1779.68,1779.68,1881.38,1779.68,1881.38,1525.44,1271.20,3180.11,2974.06,3525.63,3358.44,3627.94,7264.82,7519.59,7918.62,7055.50,4066.53,3421.90,2966.57
ABMD44,358206.40,10409.92,27002.54,19017.15,56429.61,24822.40,22144.00,26702.40,26470.40,28209.60,29550.40,33540.80,36027.20,34827.20,36488.00,29777.60,29646.40,0,0,0,0,0,2320.83,2470.85,2721.86,2896.38,0,0,0,1753.27,1567.35,1903.79,1876.64,2012.10,2449.28,2720.68,3034.86,2860.88,2610.08,2117.68,2095.92,1322.05,1118.66,1220.35,1322.05,1322.05,1627.14,1728.83,1728.83,1932.22,2542.40,1627.14,1525.44,3075.32,2686.01,3124.14,3198.69,3334.15,6397.25,6920.36,7485.55,7689.49,5152.48,3744.82,3621.36
ABO0DK,485868.80,16051.68,37143.29,25322.30,78517.27,32511.20,32032.80,40130.40,39458.40,40889.60,43658.40,48202.40,48808.80,43940.80,43708.00,36887.20,35640.80,0,0,0,0,0,3753.82,4003.36,4240.64,4053.86,0,0,0,2314.98,2280.43,2878.46,2804.21,2930.69,3727.16,4019.10,4211.63,3658.19,3139.82,2639.05,2539.57,1779.68,1576.29,1830.53,1779.68,2135.62,2237.31,2389.86,2542.40,2440.70,2440.70,2033.92,2135.62,4094.66,3856.72,4708.99,4583.89,5066.30,9718.30,10412.32,10994.67,10152.75,5580.53,4672.97,4675.18
ADUJB6,221134.13,8589.14,17159.94,12534.03,38283.11,15140.80,14056.80,16809.20,15741.33,19181.20,22761.20,25724.80,24738.40,19445.60,17790.00,15356.80,14388.00,0,0,0,0,0,2195.33,2164.69,2201.46,2027.66,0,0,0,1073.73,999.82,1203.19,1121.69,1384.16,2008.67,2172.28,2163.65,1642.34,1277.06,1095.22,1018.13,661.02,940.69,940.69,864.42,1194.93,1322.05,1322.05,1322.05,1245.78,1016.96,915.26,788.14,1734.75,1940.51,2143.88,1986.10,2579.09,5526.05,5659.01,5687.15,4915.78,2294.02,2010.49,1806.27
AF7MLV,322047.20,9159.30,24161.58,15559.49,48880.37,23634.40,22246.40,26175.20,25943.20,27900.00,29424.00,31666.40,31460.00,29034.40,28072.00,22953.60,23537.60,0,0,0,0,0,2158.56,2233.57,2395.84,2371.33,0,0,0,1677.99,1581.26,1867.27,1840.02,1991.60,2431.68,2525.86,2608.54,2338.57,1998.35,1633.99,1666.44,1016.96,1118.66,1067.81,1271.20,1372.90,1322.05,1372.90,1525.44,1474.59,1525.44,1220.35,1271.20,2694.95,2699.92,2935.07,3111.22,3364.50,5912.29,6132.32,6529.82,6184.49,3523.79,2854.34,2937.64
AFW32J,228986.40,6824.74,17416.20,11339.10,35580.04,21341.60,12117.60,13059.20,11756.00,12164.00,21024.80,23822.40,24207.20,22680.00,23329.60,22128.80,21355.20,0,0,0,0,0,1596.74,1746.75,1746.75,1734.50,0,0,0,1524.87,868.03,941.19,841.87,874.61,1754.13,1935.87,2043.82,1861.74,1673.69,1581.92,1514.45,1067.81,711.87,711.87,610.18,813.57,1016.96,1067.81,1067.81,1067.81,1220.35,1016.96,966.11,2592.68,1579.90,1653.06,1452.05,1688.18,4367.82,4750.43,4858.38,4664.05,2894.04,2598.88,2480.56
AFZC15,395119.20,15203.07,30618.72,25017.22,70839.00,24728.80,23932.80,31024.80,30880.80,33078.40,37154.40,44204.00,44754.40,40013.60,34172.00,25235.20,25940.00,0,0,0,0,0,3494.98,3769.02,4044.54,3894.53,0,0,0,1755.00,1703.75,2234.69,2208.38,2378.87,3211.41,3699.54,3897.49,3375.33,2475.05,1819.27,1859.93,1677.98,1677.98,1881.38,1830.53,1983.07,2186.46,2389.86,2542.40,2440.70,2542.40,2033.92,1830.53,3432.98,3381.74,4116.07,4038.91,4361.94,8892.85,9858.42,10484.43,9710.56,5017.45,3853.19,3690.46
AG0CNH,343508.40,9351.71,25713.16,15762.88,50827.75,25168.80,23054.80,27056.40,27092.40,28867.20,29590.80,35367.20,34630.80,31250.40,30228.00,26134.80,25066.80,0,0,0,0,0,2082.08,2462.51,2462.51,2344.61,0,0,0,1775.62,1628.89,1927.77,1913.42,2053.85,2434.32,2833.94,2881.10,2508.99,2145.80,1850.30,1759.19,1271.20,1118.66,1245.78,1271.20,1372.90,1322.05,1525.44,1474.59,1423.74,1296.62,1220.35,1220.35,3046.82,2747.54,3173.54,3184.62,3426.74,5838.45,6821.89,6818.20,6277.34,3442.42,3070.65,2979.54
AH23EF,619557.60,13458.77,45060.60,21381.58,79900.96,49936.00,46120.80,51017.60,49146.00,51613.60,51766.80,57431.60,58792.40,53247.60,53143.60,48508.40,48833.20,0,0,0,0,0,3344.96,3475.86,3338.10,3299.86,0,0,0,3482.60,3216.22,3574.41,3420.65,3619.81,4037.55,4418.85,4671.14,4102.38,3719.22,3395.88,3401.90,1423.74,1500.02,1500.02,1881.38,1550.86,2084.77,2161.04,2059.34,2186.46,1983.07,1550.86,1500.02,4906.34,4716.24,5074.43,5302.03,5170.67,9467.28,10055.75,10068.58,9588.70,5702.29,4946.74,4901.91
AIG6NH,565140.80,13095.49,42380.14,22779.90,78255.53,42017.60,39358.40,43486.40,42353.60,45009.60,47590.40,57356.80,58112.00,49689.60,52059.20,46075.20,42032.00,0,0,0,0,0,3217.98,3242.50,3392.51,3242.50,0,0,0,3002.68,2815.01,3130.64,3024.88,3236.39,3985.66,4520.67,4733.81,3986.45,3696.93,3272.11,2974.91,1830.53,1830.53,1830.53,1830.53,1830.53,1932.22,1932.22,2033.92,1932.22,2135.62,1830.53,1830.53,4833.20,4645.54,4961.17,4855.41,5066.92,9135.86,9695.39,10160.24,9161.17,5832.55,5102.63,4805.44
ALHV9H,353087.20,9204.40,26386.87,15101.86,50693.13,26089.60,24660.80,27749.60,27223.60,28058.40,30851.20,35438.80,36058.80,32335.20,32226.80,26728.40,25666.00,0,0,0,0,0,2114.93,2402.70,2352.94,2333.82,0,0,0,1835.12,1735.52,1973.88,1926.41,1997.04,2535.27,2821.33,2965.01,2604.62,2290.12,1897.44,1805.12,1067.81,991.54,1169.50,1169.50,1220.35,1322.05,1500.02,1474.59,1449.17,1474.59,1169.50,1093.23,2902.93,2727.06,3143.38,3095.91,3217.39,5972.25,6724.05,6792.54,6387.61,3764.72,3066.94,2898.35
ANJVJO,296639.20,13701.70,23067.28,21534.13,58303.11,18422.40,19044.80,24337.20,21671.20,23732.00,29633.20,36870.40,31924.40,29036.80,26002.80,19253.20,16710.80,0,0,0,0,0,2968.21,3544.50,3779.81,3409.18,0,0,0,1335.40,1376.66,1763.57,1559.11,1710.58,2537.06,3090.02,2769.72,2425.52,1884.42,1397.71,1217.51,1194.93,1271.20,1423.74,1271.20,1550.86,1983.07,2415.28,2466.13,2186.46,2440.70,1805.10,1525.44,2530.33,2647.86,3187.31,2830.31,3261.45,7488.34,9049.80,9015.66,8021.17,4325.13,3202.81,2742.95
AODAL5,591732.27,15901.18,44553.58,27457.92,87912.68,27573.60,36918.40,46792.80,42641.07,44438.40,46864.00,52929.60,65918.40,65444.00,68333.60,49968.80,43909.60,0,0,0,0,0,3691.07,4021.50,4206.82,3981.79,0,0,0,1972.44,2619.13,3342.67,3031.97,3180.32,3994.20,4359.88,5412.85,5162.64,4825.45,3532.47,3119.56,1728.83,1881.38,2135.62,2135.62,2084.77,2288.16,2745.79,2694.94,2644.10,2847.49,2237.31,2033.92,3701.27,4500.51,5478.29,5167.59,5265.09,9973.43,11127.18,12314.61,11788.53,7672.94,5769.78,5153.48
AP9LXL,332529.60,10137.34,25428.97,18152.74,53719.05,26642.40,23498.40,29109.60,27860.00,28655.20,26719.20,29795.20,33360.80,27743.20,29469.60,26029.60,23646.40,0,0,0,0,0,2135.52,2660.58,2695.87,2645.38,0,0,0,1912.89,1685.71,2102.23,1990.88,2063.26,2318.62,2509.39,2815.75,2344.47,2124.11,1870.17,1691.49,1576.29,1423.74,1372.90,1322.05,1372.90,1372.90,1728.83,1677.98,1677.98,1830.53,1474.59,1322.05,3489.18,3109.45,3475.12,3312.93,3436.15,5827.04,6898.80,7189.61,6667.83,3954.64,3344.76,3013.54
APU092,381062.40,13446.53,29290.98,28068.10,70805.60,32657.60,31705.60,34718.40,30249.60,32710.40,31940.80,32033.60,34620.80,30697.60,32476.80,28036.80,29214.40,0,0,0,0,0,2948.35,3223.87,3523.90,3750.40,0,0,0,2366.82,2293.61,2505.36,2173.71,2360.30,2745.49,2714.63,3014.96,2622.80,2348.91,2033.94,2110.47,3050.88,2949.18,2339.01,1830.53,1932.22,1932.22,2135.62,2339.01,2542.40,2339.01,1830.53,2847.49,5417.70,5242.79,4844.37,4004.23,4292.52,7626.06,8074.12,8877.87,8915.60,4687.92,3864.47,4957.96
AQCHQ5,394236.00,13849.50,30984.35,23695.17,68529.02,24775.20,23834.40,29351.20,28495.20,31331.20,33068.00,39210.40,44412.80,38634.40,40050.40,32712.00,28360.80,0,0,0,0,0,3295.94,3259.17,3785.70,3508.70,0,0,0,1808.29,1738.69,2158.63,2084.33,2299.11,3008.19,3346.88,3898.18,3306.16,2904.66,2376.14,2055.08,1627.14,1677.98,1728.83,1728.83,1779.68,2084.77,2186.46,2491.55,2339.01,2389.86,1932.22,1728.83,3435.42,3416.67,3887.47,3813.16,4078.79,8388.90,8792.52,10175.43,9153.88,5294.51,4308.36,3783.91
AQS89G,348841.60,10756.03,26496.50,17186.62,54439.16,24308.80,21825.60,27468.80,26728.00,29910.40,35235.20,39705.60,37867.20,29772.80,28979.20,23811.20,23228.80,0,0,0,0,0,2645.38,2795.39,2819.90,2495.36,0,0,0,1724.53,1553.19,1971.97,1905.91,2146.31,2954.04,3205.66,3177.15,2442.13,2071.84,1697.66,1646.11,1118.66,1220.35,1423.74,1525.44,1525.44,1627.14,1728.83,1728.83,1525.44,1423.74,1220.35,1118.66,2843.19,2773.54,3395.71,3431.35,3671.75,7226.55,7729.89,7725.89,6462.93,3495.58,2918.02,2764.76
