CustomerID,datetime,NormDelta,AbsDelta,Leaders,Others,NormLeaders,NormOthers,DailyAvgLeaders,DailyAvgOthers
delta,2017-01-01 00:00,0.00812,0.00911,1.50295,1.08057,0.97141,0.96329,1.54719,1.12175
delta,2017-01-01 00:15,0.01327,0.01489,1.48024,1.05832,0.95673,0.94346,1.54719,1.12175
delta,2017-01-01 00:30,0.01837,0.02061,1.45783,1.03636,0.94225,0.92388,1.54719,1.12175
delta,2017-01-01 00:45,0.02337,0.02622,1.43581,1.01478,0.92801,0.90464,1.54719,1.12175
delta,2017-01-01 01:00,0.02827,0.03171,1.41427,0.99367,0.91409,0.88582,1.54719,1.12175
delta,2017-01-01 01:15,0.03303,0.03705,1.39330,0.97313,0.90054,0.86751,1.54719,1.12175
delta,2017-01-01 01:30,0.03765,0.04223,1.37300,0.95323,0.88742,0.84977,1.54719,1.12175
delta,2017-01-01 01:45,0.04209,0.04721,1.35346,0.93407,0.87478,0.83269,1.54719,1.12175
delta,2017-01-01 02:00,0.04635,0.05199,1.33475,0.91573,0.86269,0.81634,1.54719,1.12175
delta,2017-01-01 02:15,0.05041,0.05655,1.31695,0.89828,0.85119,0.80078,1.54719,1.12175
delta,2017-01-01 02:30,0.05423,0.06083,1.30014,0.88180,0.84033,0.78610,1.54719,1.12175
delta,2017-01-01 02:45,0.05782,0.06486,1.28440,0.86636,0.83015,0.77233,1.54719,1.12175
delta,2017-01-01 03:00,0.06116,0.06861,1.26979,0.85203,0.82071,0.75955,1.54719,1.12175
delta,2017-01-01 03:15,0.06421,0.07203,1.25637,0.83886,0.81203,0.74782,1.54719,1.12175
delta,2017-01-01 03:30,0.06700,0.07516,1.24420,0.82692,0.80417,0.73717,1.54719,1.12175
delta,2017-01-01 03:45,0.06949,0.07795,1.23334,0.81625,0.79715,0.72766,1.54719,1.12175
delta,2017-01-01 04:00,0.07167,0.08040,1.22382,0.80690,0.79099,0.71932,1.54719,1.12175
delta,2017-01-01 04:15,0.07355,0.08250,1.21569,0.79890,0.78574,0.71219,1.54719,1.12175
delta,2017-01-01 04:30,0.07510,0.08424,1.20898,0.79230,0.78141,0.70631,1.54719,1.12175
delta,2017-01-01 04:45,0.07632,0.08561,1.20373,0.78712,0.77801,0.70169,1.54719,1.12175
delta,2017-01-01 05:00,0.07721,0.08661,1.19995,0.78338,0.77557,0.69836,1.54719,1.12175
delta,2017-01-01 05:15,0.07776,0.08723,1.19767,0.78110,0.77409,0.69633,1.54719,1.12175
delta,2017-01-01 05:30,0.07798,0.08747,1.19688,0.78029,0.77358,0.69560,1.54719,1.12175
delta,2017-01-01 05:45,0.07786,0.08734,1.19760,0.78095,0.77405,0.69619,1.54719,1.12175
delta,2017-01-01 06:00,0.07740,0.08682,1.19981,0.78307,0.77548,0.69808,1.54719,1.12175
delta,2017-01-01 06:15,0.07661,0.08594,1.20352,0.78665,0.77788,0.70127,1.54719,1.12175
delta,2017-01-01 06:30,0.07548,0.08467,1.20871,0.79168,0.78123,0.70575,1.54719,1.12175
delta,2017-01-01 06:45,0.07402,0.08303,1.21534,0.79812,0.78552,0.71150,1.54719,1.12175
delta,2017-01-01 07:00,0.07223,0.08102,1.22340,0.80596,0.79072,0.71849,1.54719,1.12175
delta,2017-01-01 07:15,0.07015,0.07869,1.23285,0.81516,0.79683,0.72668,1.54719,1.12175
delta,2017-01-01 07:30,0.06775,0.07600,1.24365,0.82567,0.80381,0.73606,1.54719,1.12175
delta,2017-01-01 07:45,0.06507,0.07299,1.25575,0.83746,0.81163,0.74656,1.54719,1.12175
delta,2017-01-01 08:00,0.06210,0.06966,1.26910,0.85047,0.82026,0.75816,1.54719,1.12175
delta,2017-01-01 08:15,0.05886,0.06603,1.28364,0.86465,0.82966,0.77080,1.54719,1.12175
delta,2017-01-01 08:30,0.05536,0.06210,1.29931,0.87993,0.83979,0.78443,1.54719,1.12175
delta,2017-01-01 08:45,0.05163,0.05792,1.31605,0.89625,0.85061,0.79898,1.54719,1.12175
delta,2017-01-01 09:00,0.04767,0.05347,1.33378,0.91354,0.86206,0.81439,1.54719,1.12175
delta,2017-01-01 09:15,0.04350,0.04880,1.35242,0.93173,0.87411,0.83061,1.54719,1.12175
delta,2017-01-01 09:30,0.03915,0.04392,1.37190,0.95074,0.88670,0.84755,1.54719,1.12175
delta,2017-01-01 09:45,0.03463,0.03885,1.39213,0.97048,0.89978,0.86515,1.54719,1.12175
