,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
January,0.2965795874176157,0.29593418786475745,0.2958730721704995,0.2939513768726628,0.2938509005252551,0.29095957441346854,0.29058973871463945,0.28659720436449665,0.28633408879766264,0.2810870137436483,0.2804851242730051,0.27431918016762546,0.2735940121307059,0.2664066282710309,0.2654887671154471,0.2572944468622148,0.2564283946469764,0.24683240572696752,0.24614973987648137,0.2357032492797334,0.2348568970320597,0.22354850364913914,0.22237788085839472,0.210466590109048,0.20913228092111624,0.19632178180599025,0.19488594909288937,0.18139483920082,0.1798937413643965,0.16566710950373442,0.16410799822435707,0.14919245672862147,0.14754632528481415,0.13197813255585056,0.13048948300662255,0.11413291219096022,0.11276858838576931,0.09591890330500119,0.0946281434812638,0.07754745180644285,0.07607435279571428,0.058784409567947726,0.05714347473096626,0.03955931485936648,0.037896624981278326,0.020087663018233393,0.01839491924090708,0.0008791660259133138,-0.0008425844728903176,-0.01849716679265967,-0.02023342065220124,-0.037870397359928365,-0.03964705905038102,-0.057153505511462255,-0.05876958305603197,-0.07601496902382254,-0.07758028480580759,-0.09456150802900254,-0.09611957213061872,-0.1126801978924008,-0.11432632933620823,-0.13040109251325416,-0.13203997227669184,-0.1475200976634643,-0.14899529102971476,-0.16392843813749325,-0.16557561675906163,-0.17976909246918216,-0.18137276100853517,-0.19476855187804443,-0.19629245193333622,-0.20886880292112608,-0.21036784568400657,-0.22208539613692713,-0.2235885883288733,-0.23504616474824247,-0.23568117108744913,-0.24603959434200506,-0.24694915663945882,-0.25630374575176185,-0.25730137539140685,-0.26583861897751326,-0.266252972654339,-0.27367760689265497,-0.27440277492957454,-0.28064538526771154,-0.2809955209989756,-0.28613277366969125,-0.2867357103180952,-0.2907645030700843,-0.29102866581467945,-0.2939489986479429,-0.29411888954773846,-0.29589450406042994,-0.29600327926596814,-0.2965025980336815
February,0.2678654579189468,0.2673971441456249,0.26714649489067466,0.26581813809249777,0.265171238570895,0.2632050242813557,0.26208528997131053,0.259488786222285,0.2580493861673768,0.25438578992375716,0.25270330864577595,0.24846996719768233,0.24630708309938243,0.24122036245528666,0.23908955889054084,0.2332799239983918,0.23040021968555247,0.22416553639760828,0.22114960751099033,0.21390747178044156,0.2110077759810438,0.20288018052093848,0.19948404163444522,0.19086904511748382,0.18731307335855962,0.17817949945421185,0.17440224636481905,0.16488722384988785,0.16066650389653492,0.15058568739691047,0.14631955925229867,0.1359405424927319,0.13126878764354288,0.12042992934555463,0.11566645391082286,0.10465048386291687,0.0995882383729042,0.0881644988066892,0.08310982134855271,0.07131615242341038,0.06630688315653321,0.05437213423480847,0.04913220719953837,0.0372398194523168,0.03176923464865489,0.01952024520021045,0.016730391394430222,0.002153321429545829,-0.0009135025389102047,-0.015365867181674098,-0.018495948014213948,-0.03300128888011389,-0.03611804205494917,-0.05018657988574193,-0.053428038382697274,-0.06735944743668809,-0.07039656907297709,-0.08421445764881907,-0.08717013934051443,-0.10076008275703652,-0.10353503588671797,-0.11664548068594494,-0.11955361137264786,-0.1322308699488639,-0.13510387308525584,-0.1473412816096078,-0.14997301192897505,-0.16160226529413024,-0.1641383238081744,-0.17509887775912136,-0.1776158489896309,-0.1879927602830609,-0.1902996350270747,-0.20028481706897128,-0.20248088394390984,-0.21149283689048692,-0.21354782376884307,-0.2217018765042993,-0.22358551125856585,-0.23108871325263913,-0.23287001237272986,-0.2394396338369147,-0.2409805643430043,-0.24681608671516386,-0.24815539296965805,-0.25309607917433663,-0.2541647446873241,-0.25834862770434763,-0.25929225348752927,-0.262382723102234,-0.2630944525063139,-0.26545172723201693,-0.2658625437670834,-0.2671188370585911,-0.26749633444939436,-0.2679664566287643
March,0.22016926293118144,0.21986036488071747,0.21950618277722345,0.21860213065234713,0.2178456213359995,0.21654919680728602,0.2151649365809939,0.21359793295000828,0.21187479246992824,0.2093858202321508,0.20749597746944637,0.20461749388416217,0.20203421369220687,0.19883190527872152,0.1959731917920453,0.19224713793611192,0.18891817115703713,0.1847369194342906,0.1812492120454895,0.176531774086918,0.17253586952949662,0.16750542947195202,0.16323695267613902,0.1578278240003148,0.15324659152964892,0.14741572974275552,0.142612931199387,0.1363960406174055,0.13134393335825123,0.12488320974902178,0.11937167192669618,0.11269261837306344,0.10701562126029285,0.1000044061335913,0.09421805651263482,0.0870497188403564,0.08095633565720572,0.07364903834538672,0.06736531428503723,0.05991905733367764,0.05340480895966826,0.045746565672654005,0.039333708133932554,0.03171950590776851,0.02498779550956587,0.017410294167443885,0.012190520672336724,0.0027889482483562933,-0.0021464337110721488,-0.011396852126255297,-0.016617622189422088,-0.02574686879913135,-0.03090070935081246,-0.040268441947080014,-0.04519051519292061,-0.05415268444803645,-0.05925079328942884,-0.06799997964082949,-0.072949549105634,-0.08165506946815482,-0.08648384219945471,-0.0949378142859496,-0.0995188963656124,-0.10771845911975131,-0.11220872666923332,-0.11979646185922466,-0.12439869654910174,-0.13170365826756414,-0.13598679367383948,-0.14293533372856793,-0.14702850332961437,-0.15359511863776443,-0.1575005619938208,-0.16363200682946477,-0.16720528861245132,-0.17284035557676192,-0.1763929884693527,-0.18153167756233035,-0.18449102086877822,-0.18946748679961023,-0.1919422715320125,-0.19621671686460496,-0.19871613675964084,-0.20227836026085644,-0.20437931056742764,-0.2077487072070845,-0.20932939462362632,-0.21187211630715153,-0.21347743888632809,-0.2153532227915056,-0.21665350494460722,-0.21806003212544534,-0.21862196786823618,-0.21973651691246632,-0.21979573117517415,-0.2201900967151298
April,0.20002787664947663,0.19987496625836942,0.19933912632595951,0.1987830096490787,0.1978458527088761,0.19695738852045286,0.19548969699370589,0.19418741582777854,0.19216171834616924,0.19058544847321945,0.18823459810391485,0.18626042729105718,0.18334532098203415,0.1810325526727784,0.17781351485952224,0.17516120441487792,0.1712646091207477,0.16839761341259185,0.16421205801283434,0.1609789934399628,0.1564442298520765,0.15293092658732688,0.147961124638474,0.1441507220052599,0.13876085309404573,0.1347073491900116,0.12896732745167883,0.1247628024345182,0.11874784735017274,0.11425588901728745,0.10796600058692973,0.10328929978774481,0.09677753147002865,0.09185584012204251,0.08509472054865064,0.08007411690720223,0.07316539228856811,0.06787763207586639,0.0607451382918931,0.055460211996163467,0.04797909217497398,0.04273944256313933,0.035287683388248725,0.029849846701411997,0.022480501631474636,0.016832922538913442,0.0093881383250346,0.003812582308530321,-0.003708366025445775,-0.009235229290170066,-0.016804870375925374,-0.022353899663102306,-0.02986518194433785,-0.03536115777286031,-0.04263086557317908,-0.04811717534896154,-0.05530824760028907,-0.060645063052848114,-0.06776374974004096,-0.07304845637293655,-0.08006292542080096,-0.08512916823422256,-0.09196950550751826,-0.09683850588492793,-0.1033436617297101,-0.10807566775360877,-0.11439172042521584,-0.11881943245680304,-0.12486585712826281,-0.12914160340773373,-0.13486534662039262,-0.13890235233591763,-0.1442166392779467,-0.14801584906851706,-0.15287293162712712,-0.15639626343269453,-0.1609316091714943,-0.16415253626273207,-0.16833431310652736,-0.1713077782200696,-0.1751253754771307,-0.17776990914701551,-0.18094803098325163,-0.18329640992366225,-0.18621929300744422,-0.188206908429005,-0.19063639434730062,-0.19223671952068377,-0.19416314222075282,-0.19537523250696776,-0.19692250422169622,-0.19784468976329284,-0.19878620741037056,-0.19936979545556932,-0.19987816401966163,-0.20006385112495195
May,0.21553139270611787,0.21540527017354327,0.21474143533383694,0.2143630677361129,0.21309688984625375,0.21231163138842357,0.21043316725717676,0.20952361890892068,0.2068831943369468,0.20572140092354163,0.20260161688052092,0.20115094459049843,0.19717421345919783,0.1955327878935792,0.19116801865448685,0.18925262899910233,0.18424705025624033,0.1819794572925375,0.17647096741186274,0.17408405615335076,0.1679211482933749,0.16546646733837322,0.1588087588896714,0.15607330960713728,0.14895560173902778,0.14592263669996242,0.13845796980031733,0.1351541796249549,0.1273972412455615,0.12396052429985838,0.11564179561573973,0.1121752490963347,0.1036853998694256,0.09985801316178766,0.09118526755870471,0.08711505264632335,0.0782874075986214,0.07419730630377097,0.0649086091750044,0.060946463054877165,0.051381189213704936,0.04719610127130225,0.03768342869010621,0.03330339585698161,0.023660155478422262,0.019319895410234267,0.008113081814421053,0.005188553406295648,-0.005836397443498398,-0.008722985728836452,-0.020013790119310704,-0.02290587633109409,-0.033890528085122495,-0.03693281482707467,-0.04767960997197718,-0.050697565066672334,-0.06137475787293556,-0.06431683272205624,-0.07469834241393647,-0.07758625604209768,-0.08780867467423326,-0.0905393298847974,-0.10041321049291119,-0.10315800050983559,-0.11269511892731088,-0.11534597495834031,-0.12452827744485684,-0.12697215910211823,-0.13562825243372045,-0.13807815834825687,-0.14628000383655837,-0.14861111778711478,-0.156280476213565,-0.15840644843250185,-0.16583455764669486,-0.1676423477461415,-0.1743137217648858,-0.1761958321489263,-0.1822719210049455,-0.18387248308096305,-0.18941163961034158,-0.19090204660229326,-0.19573968181884038,-0.19696345528962,-0.20118775160312286,-0.20232308901445295,-0.20580111965457126,-0.20669154256934608,-0.20960961554688695,-0.2101936321755542,-0.21233560990600786,-0.21293428767186362,-0.2143001701552305,-0.21476880645455232,-0.2154051706935336,-0.21553757113304517
June,0.2626645260808399,0.26262616573543973,0.2615370333787086,0.26147305568677515,0.25936500881588065,0.25900728540601037,0.2560526172032558,0.2555926871048506,0.2517786545713683,0.25110156809702777,0.24631322154541646,0.24548282503827434,0.23981586830883583,0.2388257902694585,0.23219075967252578,0.23124528212918294,0.22376349885159041,0.22249865824377768,0.21438701596386267,0.2129688653232481,0.20404856801047577,0.2024834788364932,0.19288208782833183,0.1910742249318801,0.18072789388519617,0.17898374598307976,0.167930572545674,0.16593090792222187,0.15434955677583218,0.15234976080358065,0.14017625425627267,0.13806137724782042,0.12532120129732882,0.12313584374871045,0.11002040607563768,0.10772633899025263,0.0940885697124324,0.09180711427711508,0.07795974226198454,0.07548648509966649,0.061474110843261376,0.05897510498561054,0.044701761950030616,0.04193436502337733,0.027706410576626594,0.024900390606975575,0.008003109517605411,0.007911410733005386,-0.008979236159333381,-0.009198890327799303,-0.026283705390870438,-0.02637651739224367,-0.04315484373851075,-0.04354744783327602,-0.0598377289420744,-0.0604095231137729,-0.07666807807420306,-0.07689541723009485,-0.0928862378655182,-0.09312034256724133,-0.10837101847798558,-0.10894386344007745,-0.12390158172567967,-0.12427691020533338,-0.13880760668009162,-0.13911311136357551,-0.15323616322338895,-0.15341436926700114,-0.16675320130129734,-0.16698927623500825,-0.17969082697715555,-0.17996565630266415,-0.19178104322835798,-0.19207551244736387,-0.20308145624740392,-0.20342105135764132,-0.21345800184859387,-0.2137533905091933,-0.2228151075404221,-0.2232642002802212,-0.2316316865707968,-0.23190250867525752,-0.23927577835660885,-0.23940018732289725,-0.24561331871215475,-0.24589143175764305,-0.2513786062578789,-0.25138911632715977,-0.2557161525353018,-0.25584213768718045,-0.25893894910946025,-0.2592313813394054,-0.26146114344353255,-0.26148741753406135,-0.2625697843449615,-0.2626402648851278
July,0.2967870891058906,0.2967071905903217,0.2954973687670005,0.29541411601319945,0.2930184419212275,0.29296044009718947,0.2894634478654604,0.28911653001028226,0.28451821963879587,0.2839749097329277,0.2780456483896745,0.27782913090959116,0.27104751819993644,0.2701959583215823,0.2622318475815092,0.26159857644537554,0.2525844409131188,0.251939825687196,0.24210865243299762,0.24092151878925472,0.23002769527799105,0.2289217415249094,0.21719026497526517,0.21632656951907447,0.20341466780215212,0.20254761810772892,0.18884935669999992,0.18797895276734478,0.1735422707781502,0.17249145449791892,0.15758928825528595,0.15630548490481289,0.1405996978931665,0.13942903383958216,0.12322452179317744,0.12181288081779429,0.10560422304510975,0.10388305072214798,0.08694139946936996,0.0857114522166551,0.06824917923758755,0.06670970063729442,0.04913685111152277,0.04771850165967495,0.02993791599342488,0.028411062858012648,0.010627122953529966,0.008973223681255749,-0.0089406267112766,-0.010731634835110748,-0.028359923434735368,-0.02988933932033211,-0.047558858552833705,-0.04909626428998681,-0.06661062210467561,-0.06828513669338832,-0.08562036353559299,-0.08727889842119207,-0.1038525266153083,-0.1055636362235739,-0.12194343511718508,-0.12321589437786895,-0.13922145162339916,-0.14052251605207888,-0.15606594328240253,-0.1574195824337472,-0.1723444368559588,-0.17361817749173536,-0.18782394527382817,-0.1890177873940353,-0.2024611650399919,-0.20352253392196484,-0.2160790380451072,-0.21713705268884764,-0.22908090099229494,-0.23022009552669687,-0.2410806782566408,-0.24203946044346658,-0.2519059473421248,-0.25263174245870856,-0.26156469810030436,-0.2623636832559919,-0.2702466141054043,-0.27092575148773923,-0.2777027285840694,-0.27829397759927876,-0.28410210979408634,-0.2843278985008191,-0.2890586821105401,-0.2896112632430574,-0.2929025921974473,-0.2930897130214878,-0.2955093566681306,-0.2957616776797183,-0.29672588696791613,-0.2967898057803715
August,0.26668157833045947,0.26647496793701786,0.26563117196847474,0.26512460835321805,0.26332374885106324,0.26271202478249367,0.26041276677671676,0.25904242445634307,0.2559242619029227,0.25444875912923615,0.2502409688259506,0.2486603055989517,0.243928597285633,0.241764811924148,0.23637724947005345,0.23395707087332718,0.22766782249713513,0.22492217117218394,0.21818367904865754,0.21506214406817203,0.20779225490836806,0.20431350483802246,0.19634854014956216,0.19259410019279144,0.18404669945523278,0.18012983717710473,0.17099937230493834,0.16694497912635187,0.15731919817823636,0.15303889795502323,0.14284809335246362,0.13838607415670878,0.12768625159672886,0.12307985055978077,0.11205272901492336,0.10718867857171377,0.09594067466631262,0.09086253480341577,0.07956914465478737,0.07452211906801431,0.0627171986199252,0.05745608361346555,0.04554166411336924,0.04020461867318992,0.028286488659910347,0.022872884700501417,0.010944821318813358,0.007808338198987963,-0.00661030735646051,-0.009823348995515735,-0.0240459456114408,-0.02725464865180216,-0.04133845819624904,-0.04439158985598857,-0.0585886669655038,-0.061681648098633746,-0.07547732204620505,-0.07867923214570882,-0.09213698765460587,-0.09517150874854874,-0.1080909582805536,-0.11131033877459062,-0.12393668602551466,-0.1269326718169661,-0.13919124252411308,-0.14201424454028766,-0.1537737306584228,-0.15648660553708127,-0.16777252657261532,-0.1703441600376312,-0.18096235130757132,-0.1834369314310318,-0.19343158100746227,-0.1956709488033972,-0.20487963436496193,-0.20717255351575825,-0.21553864127992162,-0.21760942189915244,-0.225529348343656,-0.227377990431322,-0.23431778817796678,-0.23598785172064196,-0.24208630784090723,-0.2435659752136521,-0.24913115004110842,-0.25023807418587074,-0.2546731437045604,-0.25574027637581054,-0.2594037118466146,-0.26007320986898264,-0.262877263233243,-0.26344411314433946,-0.2651939916335524,-0.2655517768090436,-0.26649268411902205,-0.26659721648682444
September,0.21826730272968575,0.21792889125650938,0.2175423403150828,0.21686450435290572,0.21576903748629261,0.21482049345455478,0.21318019854777048,0.2116618246078008,0.20970710708007734,0.20773991672776349,0.20524618194614108,0.2031292970201537,0.20002782856519308,0.19730966091439006,0.19393444534239435,0.1909489815230786,0.18698927542283206,0.1834199612375168,0.17910617002825213,0.17539638395658352,0.17063073728750033,0.1664929790633517,0.16131615243835407,0.15680511802339758,0.15136136808346146,0.14651192219532894,0.14078381658163786,0.13565065518200137,0.1295670785898927,0.12423395157178418,0.11779490400125758,0.1122187369755484,0.10547891438827628,0.0996747408285601,0.0928423185145093,0.08667169256608176,0.07972342738016536,0.07345742996616145,0.06624426749695589,0.05983982422824852,0.05245713594132939,0.045997996710950284,0.03851210014053397,0.031863230994827796,0.02441598389666577,0.017727452262880083,0.010027942469798323,0.004886564505802715,-0.004150537797702469,-0.009351409493816965,-0.01839192369837095,-0.02367212037064448,-0.032690404445935295,-0.03782773034663167,-0.0466877373231791,-0.051869523482402036,-0.060504935825989925,-0.06564402044965956,-0.07412936536600001,-0.07913378888958866,-0.08738190458460027,-0.09222261307674762,-0.1002823847258314,-0.10493032425517734,-0.1126981707212622,-0.11727675366891832,-0.12469696597450608,-0.12905372602800047,-0.1361868109210358,-0.14032995775186463,-0.1470921653393158,-0.15105896255033513,-0.15732927933631347,-0.16106161906480243,-0.166908761468749,-0.17038681247066756,-0.1756374699202461,-0.17882636747796332,-0.1838750332774195,-0.1866479531087748,-0.1910512487784628,-0.19370150193585567,-0.197631725032287,-0.19984856810450125,-0.20324521187973166,-0.2051031720724803,-0.20810708126643718,-0.20966666532766354,-0.21183446146070062,-0.21314455456580417,-0.21484167701080725,-0.21575802251881382,-0.2169413968866556,-0.217334771630179,-0.21797534398950025,-0.21805530912790894
October,0.20028847468049815,0.19996889971160725,0.1996664316740635,0.19899784756696803,0.19828493066838426,0.1970803486368724,0.19593196532628065,0.19409306216711641,0.19273570521208716,0.19047844257226187,0.1887694559780705,0.1862114723013395,0.18388968812918727,0.18076103135681176,0.1784115600159848,0.17489834543385774,0.1720787325097941,0.1681212673957183,0.16487497217958724,0.16040477969142475,0.1571944453386266,0.15239281195214105,0.14886860494090093,0.14353801074930106,0.13962575192703275,0.13413051688248268,0.12999217748442904,0.12410976412917007,0.11975500177559073,0.11353940052137024,0.10895768409168693,0.10249668702116166,0.0978210148898383,0.09105010047068174,0.0861176279021556,0.07908508423566651,0.07413108811744884,0.06697474238822099,0.06182672036448844,0.054511023900975175,0.049153616041019754,0.04168822646348014,0.03637689839565117,0.028824590235774106,0.023323191572241497,0.015717766500934816,0.010472706966071388,0.002840468226409598,-0.0027798545729829094,-0.010387949261994933,-0.015880102497053183,-0.02341006272366819,-0.028809595065939497,-0.03639046389481093,-0.04168288891390559,-0.049172010350309714,-0.05458952312424703,-0.061702458679053995,-0.06706772804188232,-0.07408100558460062,-0.07915305233835945,-0.08608203179969731,-0.09103423180052839,-0.09780560752821876,-0.10243648555952012,-0.10901645588265363,-0.11350334311037846,-0.11976944077506957,-0.12406887790804788,-0.13009045325675417,-0.13405978430026222,-0.13972885650948763,-0.1435511149399269,-0.14877989192701424,-0.15228257538856282,-0.15719439790771617,-0.1605653686869044,-0.16500309431301075,-0.16807467886414718,-0.17202952347726597,-0.17476309131931034,-0.1783921973445548,-0.18090626042158253,-0.18399366621196167,-0.18607621818679232,-0.18873077806612049,-0.19059865408606402,-0.19272687366123553,-0.19413426571820214,-0.19583446819245287,-0.19688540180012826,-0.19821245108552565,-0.1990043759468254,-0.1996826176741806,-0.2000245896930828,-0.20031431830087554
