,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
January,0.2963773537440677,0.295739624767811,0.2956745734502886,0.2937613865215183,0.29364899858025884,0.2907670186300033,0.290412724754305,0.2863909046232658,0.28616032128312907,0.28088075789336064,0.28027845830467357,0.27413639005612933,0.2733923729171631,0.2662344673443291,0.2653074958098962,0.25713375291277196,0.2562538256811442,0.2466573921445423,0.24594241229366343,0.23554852521580794,0.23466830566324737,0.22338258411759693,0.22218379239784036,0.2103248085515893,0.20901392121150608,0.19619834390087054,0.1947634537042927,0.1812509035574954,0.1797451545857781,0.16558296822655683,0.16398864578591454,0.14908244228772694,0.14745269045951503,0.13189104329128576,0.1304204313862054,0.11406191531858823,0.11270920649145211,0.09589010838542633,0.09460215855488052,0.07754666965110102,0.07599909919233128,0.058760363572153196,0.057148034116793256,0.03954919716329908,0.03784829423901537,0.020072310347671984,0.01835979250815345,0.0008666590755033177,-0.0008458587640154391,-0.018474609968394562,-0.02022255719548327,-0.03783940116369511,-0.03964629992975577,-0.057139141041472774,-0.05873956326066487,-0.07593125457803884,-0.07756710618480067,-0.0944811698592325,-0.09608159207842504,-0.11257050310201966,-0.1142888283991561,-0.1302994426905586,-0.1319469092125547,-0.14739065330283996,-0.14892602420450962,-0.16380870555129512,-0.16548550168231135,-0.17964188058391595,-0.18126553263357748,-0.19466017970243055,-0.19617754358938244,-0.20872188535656022,-0.21024505670112936,-0.22192718593046323,-0.22349159412022046,-0.23485398189862816,-0.23554543959810514,-0.24585685298558624,-0.24680763899235347,-0.2561328369854965,-0.25711295260128386,-0.26561107512322124,-0.2660603345673267,-0.27350138291978676,-0.27422768536496855,-0.28042870515248497,-0.28083643543047,-0.2859449516609396,-0.2865411514710767,-0.2905806862959013,-0.29080516985748783,-0.29374029388909784,-0.29391163336932946,-0.29568920252637043,-0.29579549068908007,-0.2962621725060379
February,0.26510388205205904,0.26462663240959894,0.2643759857219026,0.2630366451495768,0.26241383039713306,0.26047380012683885,0.2593389374548014,0.2567823936532735,0.2553677712715433,0.251751030641309,0.25005411390535426,0.2458841550769434,0.24373848575445234,0.23870897064070706,0.2365898796956808,0.23088562500670884,0.22799561955472403,0.22186220268915813,0.21882978273779474,0.21173364668764094,0.20877274196900297,0.20080629508931425,0.19736752476214314,0.1889295134951311,0.1853666871463785,0.1763647031369895,0.1725854124116003,0.16322263084773858,0.1589496506805519,0.14907543716316962,0.14473916166292622,0.134583269757392,0.12987989548146517,0.1192283954556752,0.11441678899143015,0.10362602507686647,0.098508080525464,0.08730336230149782,0.0822328892498877,0.07064586438304732,0.06562286283122987,0.053869995698150874,0.048635599058761025,0.036933354036080224,0.03145591464259001,0.01942390376589087,0.016398188661092772,0.0021866092717990337,-0.0010637901093040192,-0.01509562207755355,-0.01846500819117458,-0.03256013549248182,-0.035892804650511145,-0.04954424865434537,-0.05302501756689004,-0.06656822938240614,-0.06982746462925027,-0.08325990961191687,-0.0864033087368481,-0.09960093086508226,-0.1025993808461032,-0.1153457157432689,-0.11842643550121612,-0.1307664200225751,-0.1337920643471333,-0.14573898768141746,-0.14852473986248071,-0.15984631379978897,-0.16251369521440662,-0.17317827208821113,-0.17588298642449396,-0.1859646161120534,-0.1884269036603079,-0.19812369206046077,-0.20045178500900618,-0.20925928813575423,-0.21135824348500498,-0.21933468738234296,-0.22131527196514722,-0.22862711486538623,-0.23050261787047743,-0.23690428237498407,-0.23852153475878346,-0.24419530293313363,-0.2455992415509023,-0.25042359201804554,-0.251553456181258,-0.25563408648498065,-0.25662722140395133,-0.2596103219573027,-0.2603743192769783,-0.2626586365221695,-0.26313273555402494,-0.2643195230488449,-0.26468600585845503,-0.2651581862118515
March,0.22188397455346376,0.22154827066311455,0.22121962051550603,0.22029018079994933,0.2195552085492416,0.21820985002284954,0.21685735696837594,0.2151923698498689,0.21352599007085182,0.2109745416308174,0.20914256529549935,0.20617134320446784,0.2036403192697297,0.2003160869002889,0.1975340847734336,0.19370469711717953,0.1904605180975405,0.18612982999463545,0.18271619957853236,0.1778469745025204,0.17395254893040557,0.16873736731872513,0.1646028721373961,0.15900449746359024,0.15454840587739394,0.1484891661859724,0.14377824156749597,0.13739100766605006,0.13248044886739452,0.1258024572823807,0.12040724848755036,0.11348278948816548,0.10796561846864716,0.10070931041907527,0.09508494059793482,0.08767074567238642,0.0817318331891187,0.07412636970129982,0.06805778531301898,0.06033487037825824,0.053951743327851576,0.0460259953103328,0.039827739017038954,0.03191035661742969,0.0253712297184564,0.017487884942724907,0.012202246688976848,0.002736107182827352,-0.002224079825890346,-0.011534219483473995,-0.016809605091902657,-0.0260009814273765,-0.031180732754669593,-0.04062374321984441,-0.0455929517840552,-0.054621274528221964,-0.05975419262132409,-0.06856040808192043,-0.07355340162468949,-0.08233394507931768,-0.08719086891191696,-0.09569410623087449,-0.10031867013458462,-0.10857798300416555,-0.11308895030109611,-0.12075255953271746,-0.1253868009295045,-0.1327512868596492,-0.13704982436608693,-0.14406704188539465,-0.14817431082956234,-0.15481473309190164,-0.15873458831396148,-0.16492054336384232,-0.1684937861126483,-0.1742105105270051,-0.1777446297219445,-0.18294783323157882,-0.18590937782953398,-0.1909399310401254,-0.19339951925384624,-0.19771306253937393,-0.20025934426407832,-0.2038411142014771,-0.2059522029145342,-0.20934655912982514,-0.2109409280355814,-0.2135110755241858,-0.21508879397946656,-0.21702345833866077,-0.21831041911037308,-0.21974312708533272,-0.22029126076617533,-0.22145888306353556,-0.2214793883541739,-0.2218748018743706
April,0.20081399796247412,0.2006390787555392,0.2001279657070496,0.19954841533672707,0.19858098198926588,0.19771548233613478,0.19623693594018377,0.19493486055813458,0.19291780473893427,0.1913404282625869,0.18895378945946406,0.18698243000823933,0.1840511817841286,0.18174518029831577,0.17848694184432357,0.17581890194916394,0.17190802038211417,0.16905596489847663,0.16483328948082732,0.16160854739933284,0.15704058175858515,0.15352379039654374,0.14855119359240831,0.14472560476357088,0.1392890358557577,0.13523528687743447,0.12946862412580495,0.12526280412453483,0.119193443903848,0.11469402281506336,0.10836455787936072,0.10367956939513112,0.0971432406869629,0.09219659568074945,0.08542600682535662,0.08039572811802898,0.07345022005570156,0.06813088845163118,0.060976964809870804,0.05567593319901687,0.04815686753397497,0.04289543229335735,0.035426611187062584,0.02997195674629405,0.022553380198745865,0.016888758371577328,0.009435348104824715,0.003860352746379303,-0.003733035777973237,-0.009280634761659634,-0.016858826906730684,-0.022433822265176095,-0.029969421656206308,-0.0355018242606111,-0.04281680807673083,-0.04831271792483349,-0.0555166716650799,-0.060889351441831385,-0.06803096785798401,-0.07331391393588316,-0.08036124846241033,-0.08545707533789693,-0.09232949065749008,-0.09720625376503356,-0.10374247524307201,-0.10848691189772164,-0.11485431416656389,-0.119256456981919,-0.12533180997021387,-0.12962902270743526,-0.13540167822667315,-0.13943268625113903,-0.14477331423223005,-0.14858681029571996,-0.15348476255015386,-0.15701075752386817,-0.1615482231759222,-0.16478671705986203,-0.16897434429804625,-0.17196948165321801,-0.17579662228902282,-0.1784403694233574,-0.18164226332086453,-0.18400460936316287,-0.18694950215958817,-0.18893916160402902,-0.19135164497494395,-0.19298991419854805,-0.19495062546126296,-0.1961249225811894,-0.19768865448522255,-0.19859829869936108,-0.19954898386057374,-0.2001346342286352,-0.20063964727938632,-0.2008313146725702
May,0.21675449486154263,0.21666480096880214,0.21596002658547853,0.21561908342385938,0.21428485625327354,0.21353856051799003,0.21160362515350095,0.21074235104478123,0.20803823188492376,0.20691133621064584,0.20372840745564846,0.20231805780646894,0.19825495884135613,0.19669742611271823,0.19220209455516746,0.19037548014830763,0.18525814787484707,0.18305492548768232,0.17740874650371607,0.17513366263315389,0.1687867012245532,0.16644321598325695,0.15963580923488574,0.15704852679606274,0.14970881322452279,0.1468455288821512,0.13915289627292327,0.1359739532496287,0.12800026308611034,0.124713793760732,0.11617958402671191,0.11286437010797457,0.10415316900908456,0.10048317147807462,0.09159151890165063,0.08767426406045187,0.07858432759715173,0.07469581734931108,0.06511030257358053,0.06134369092450309,0.05150293492120417,0.04753218285197636,0.03774439223067971,0.03356603962863758,0.023598329375833504,0.019491838257189475,0.008245243955453452,0.005266993693619382,-0.005797284555998705,-0.008707133447098725,-0.020072698080960683,-0.022978555013370983,-0.03403245292499846,-0.037102793500184195,-0.04788068950826396,-0.050932665828080204,-0.061696189539480306,-0.06464010771118756,-0.07507360044498412,-0.0779991543613221,-0.08826017953496468,-0.0910310983004905,-0.10096555260919304,-0.10372502734467748,-0.11332199860442405,-0.11597687530446188,-0.1252254513312363,-0.12768257599042387,-0.13638207647673894,-0.13884558951522696,-0.14711046098849234,-0.14944063139817554,-0.15716334755630812,-0.1592992260378039,-0.16677708130635827,-0.1685967692609045,-0.17530650442614304,-0.17718261787535527,-0.1832961686514063,-0.18488829627969094,-0.190484444375278,-0.19200763878680283,-0.19688916400710266,-0.198099628004341,-0.20234531205807826,-0.20349030295121873,-0.20700699183298932,-0.20787145701786547,-0.21080234184843882,-0.2113971935090675,-0.21354159398095574,-0.21417849883957096,-0.2155507872494533,-0.21600378051787184,-0.216650533868451,-0.2167764244259034
June,0.2588158506838284,0.25878658867215476,0.2577330917689775,0.2576572755798999,0.2555968359509486,0.2552017880462004,0.25233126704066555,0.2518258186153788,0.24812792406752915,0.24738438243543626,0.24273142165900408,0.24186550966042952,0.2363386211642794,0.23529846230203233,0.22882182989708644,0.22779896320057003,0.220534863904557,0.21919808781215677,0.2112742143113453,0.20978048352100254,0.20110904978037214,0.19947565645781773,0.1901032166547716,0.18818517594800666,0.17813434456806276,0.17632005685567953,0.1655096953899725,0.1634799289562998,0.15212419091975027,0.1500997468058648,0.138157400340855,0.13599329369475777,0.12355079962993942,0.12122973828590011,0.10846666580473241,0.10604052625994165,0.0927533664870791,0.09038442575926631,0.07686314839870545,0.0742787289496033,0.060592502664265524,0.0580014356890074,0.04407976660960222,0.041192082404190034,0.027342232400444755,0.02443593082293294,0.008113537557155603,0.007698396613775804,-0.0087038099544966,-0.009201414613110304,-0.02580048253057199,-0.02603205717707513,-0.042363769876057056,-0.04297974778773472,-0.05878339757591289,-0.059644116220553656,-0.07539056719175408,-0.07590411731541957,-0.09139650812045219,-0.09187679911902702,-0.10661632885876249,-0.1074517611108381,-0.12194387821056285,-0.12257180447387506,-0.1366542319158599,-0.1371677605452175,-0.15086443802134886,-0.15126889133653698,-0.16420871063395404,-0.16462645900145523,-0.17696637481809963,-0.17743200256937408,-0.1888940150471914,-0.18935564568504892,-0.2000501553445777,-0.20052508103474764,-0.2102552265267985,-0.2106796009261469,-0.2194919364281236,-0.22005729856605316,-0.228184594964975,-0.22858900529154558,-0.23572400071768507,-0.23595016706716598,-0.24198246099998522,-0.24233232292231732,-0.2476569632665644,-0.24778202703440222,-0.2519347972224084,-0.25213168006590636,-0.255129872263401,-0.25546774284548057,-0.2576399082013392,-0.25764255861407825,-0.2587120224766164,-0.2587998085116374
July,0.29434132895215637,0.29428361775132905,0.29308407766181477,0.29299547818822624,0.2906252536096112,0.29057587219194814,0.28709064165271225,0.2867423417754008,0.2821565330757507,0.28165156006851166,0.275740426422181,0.27552827385754775,0.26881548051045134,0.26795184517038895,0.2600559722063326,0.259443906580603,0.250463915928687,0.24984981763060998,0.24008462775048256,0.23891800860607704,0.22811401711105783,0.22700104382278474,0.21535617457107414,0.21450919879734032,0.2017162035461264,0.20083833949963126,0.18719207136386673,0.18636988584585157,0.17205790622822525,0.17102133637945505,0.1561838579373407,0.15492050862995643,0.13936367284984785,0.13818282499900925,0.12211898353931483,0.12072578403006884,0.1046353187360819,0.10291637783912178,0.08613947615224915,0.08487002882782246,0.06756336387799233,0.06602588636667839,0.0485708780700852,0.047159185415937444,0.029559899117275967,0.028005961133407364,0.010390214362191563,0.009423551748334202,-0.00903510545191999,-0.010170836323564636,-0.0282604687354846,-0.029200308421275967,-0.04732915888912115,-0.04825457077470552,-0.06623711056813475,-0.06733159071150618,-0.08508125302927838,-0.08619016097285659,-0.10315442496864358,-0.10436229484132253,-0.12113289941737793,-0.12184595964455536,-0.1382518038707452,-0.1390205426264024,-0.1549462041010714,-0.1557994769856219,-0.17108828257884334,-0.1718982720627733,-0.18642240424503287,-0.18721796592875606,-0.20097539202770554,-0.2016287083817081,-0.21444832746721443,-0.2151573223496963,-0.22733398753671197,-0.2281543394761536,-0.23922209671959083,-0.23988577552910506,-0.24997040968612994,-0.25043616463744356,-0.25955007083591686,-0.260098327243776,-0.2680992601539751,-0.2686042331612142,-0.2755066205833472,-0.2759250267893456,-0.2818690813807847,-0.2819328905986547,-0.28677636702968035,-0.2871907078909832,-0.2905810418458139,-0.2906552135191953,-0.29309757709884465,-0.29331196142959937,-0.2943300381334675,-0.29435889373388124
August,0.2672586679069523,0.2670612588143808,0.26620140020109295,0.26569903829037034,0.263889455696803,0.26327071088120635,0.26098724868020096,0.25960563062787523,0.2564443858593186,0.25500015676490917,0.25073646601132193,0.24921170192056574,0.2444291988760432,0.24226727482407684,0.23691194203015475,0.23446298911430008,0.22818469547365627,0.22540378101041747,0.21864252298736542,0.21557433406456372,0.20822232233784876,0.2047413912756404,0.19675344756609126,0.19304809868207928,0.18443330776466516,0.18053963456305078,0.17139645538838222,0.16733238182342858,0.15768782312073837,0.15338140777971743,0.14319937604480382,0.13871347556547498,0.1279939707983373,0.12338235704348977,0.11232278833670029,0.10745974803081637,0.09617674388492359,0.09111604889079294,0.07977117048984206,0.07471047549571108,0.0628276328711862,0.05764097900586196,0.04563315989284411,0.040374564614791275,0.028331388784597622,0.022973843364583635,0.010967006634267085,0.007777281827441085,-0.00663971729213042,-0.009910468286654206,-0.024102803988746313,-0.027400809308178342,-0.041440423005519644,-0.04454126482805543,-0.05868866784665161,-0.061897544586117625,-0.07562312069033839,-0.07887742130464992,-0.09230688377001406,-0.09540895357092571,-0.10830904539633379,-0.11160017630187347,-0.12418647612983613,-0.127235756450659,-0.1394903403269132,-0.1423606267007782,-0.15411309426198483,-0.1568672433266518,-0.16812667934778025,-0.17076469110324766,-0.1813516104459898,-0.18386464571296535,-0.19385982896934295,-0.19612217447230762,-0.2053372973247194,-0.2076183035689727,-0.21599050937965902,-0.21808368249766064,-0.22599919586814576,-0.22788661190563242,-0.23480673182531664,-0.23650631473655115,-0.24261961111871155,-0.2440866738158738,-0.2496715819407802,-0.2508071742819098,-0.2552262885926755,-0.25629092190377767,-0.25995723013548466,-0.2606545451820266,-0.2634514188341266,-0.26399699425861867,-0.26575378737209676,-0.2660847665367796,-0.2670708296169366,-0.2671602037925773
September,0.2221048098938726,0.22181085695782976,0.2213952601628859,0.22071604568073788,0.21956848223454883,0.21866062178455814,0.21692156774467952,0.21544507964308623,0.21340415433858417,0.21148023642246105,0.2088360146105398,0.2068164544773775,0.20353037971707222,0.20089930188436456,0.19731135585943582,0.19445596566586287,0.19021436077882004,0.18677106471316185,0.18218903212053028,0.17864262153107968,0.17357535156832726,0.1695976506850535,0.16409236700709828,0.15973807179167365,0.15396319589050855,0.14925591817039252,0.14318783821855752,0.1382176916966108,0.13176315529146987,0.12663205958428358,0.11976745489837659,0.11438529630308925,0.10727157252165642,0.10163087873151577,0.0943656218641703,0.08840422461075148,0.08103465831241308,0.07497134144240314,0.06731409960757329,0.061141390814219876,0.053262975318300154,0.047023764649545385,0.03909693059150543,0.032686159730982545,0.024730185331304444,0.01829266394354645,0.010081293048790907,0.0049146529891126445,-0.0043295371665530435,-0.009542205973948947,-0.01883795339151062,-0.024115929167107808,-0.033349508316244725,-0.03850509134756641,-0.04763361218033735,-0.05281908443866978,-0.06164618002864497,-0.06680251194533993,-0.07550840969824213,-0.0805380152636852,-0.08901646195594548,-0.09386031160148889,-0.10216600319477953,-0.10678867917923296,-0.11477680600902196,-0.11935420213113113,-0.12700862467671037,-0.13132942939654013,-0.13868123179212266,-0.14281194698507527,-0.14979462735526017,-0.15370730758689866,-0.16015244443969223,-0.16390611927866572,-0.16989949270995286,-0.1733922425396699,-0.17878904288491748,-0.18197364405046002,-0.18718035486883,-0.18993560953312372,-0.19446743947632283,-0.19714513523685873,-0.2011618385829259,-0.20336296418729383,-0.20688068045693497,-0.20873823965593896,-0.2118266094243315,-0.21338349226591324,-0.21560494783968265,-0.21690404437178468,-0.2186414574826343,-0.21957337578191227,-0.22078385638189912,-0.22116089673587824,-0.22183263891127325,-0.22195189295577222
October,0.20036544601876916,0.20004951562078432,0.19973668908980846,0.1990667032363692,0.19836419318302811,0.19715101211659491,0.1960144857494005,0.19418125247858453,0.19282056516339097,0.19055641944573043,0.18885038139966004,0.18626760600130554,0.18397383765860265,0.1808389600305269,0.17846583770587587,0.17495909058889025,0.17216666211683196,0.16817576274478674,0.16495221953373462,0.16046826088990185,0.15728054803791058,0.15243652849675482,0.14895360085509246,0.14358689941710778,0.13969647421962528,0.13419717899147587,0.13005587179581124,0.12413436884539564,0.119801222609482,0.11358450486939609,0.10900337821015982,0.10251216128871754,0.09786328694696955,0.09104433103595544,0.0861621864373302,0.07908634308626505,0.07416006798830199,0.06697214416323705,0.06187164176633053,0.05450658906746397,0.04916390939695259,0.04170438796539089,0.036388429345062256,0.028799013406045626,0.023358963427980828,0.015710504531029956,0.010453791160786041,0.0028411626228955766,-0.002773519238412847,-0.010386147776302757,-0.015867831263146837,-0.023400701234788324,-0.028802626155383537,-0.03639764295196879,-0.04169619212314202,-0.04917312300385901,-0.05461067599136471,-0.061724239815598825,-0.06708803967872479,-0.07411314021213333,-0.07918152299343872,-0.0860916414779882,-0.09105084536015262,-0.09782526618752851,-0.10245072563825319,-0.10906583162528172,-0.11354668640210552,-0.11984296041628983,-0.12410835896969141,-0.1301508494108341,-0.13412683632428357,-0.1397796432430618,-0.14360522233289164,-0.14883582152940322,-0.1523454702212481,-0.15725143429519717,-0.16064319936332394,-0.16507972134865945,-0.16812903726076844,-0.1720932155826309,-0.1748236995218957,-0.17846034114633613,-0.18099318289563437,-0.18405410510718023,-0.18615583211748454,-0.1888094590653595,-0.19066630951934993,-0.19280035843740517,-0.19421428556081444,-0.19590561344043866,-0.19696238124138432,-0.19831146225714114,-0.1990790207102846,-0.19977262374689753,-0.20011797447777502,-0.20038957208427166
