CustomerID,datetime,Demand
delta,2017-01-01 00:00,0.01871
delta,2017-01-01 00:15,0.02876
delta,2017-01-01 00:30,0.03868
delta,2017-01-01 00:45,0.04843
delta,2017-01-01 01:00,0.05797
delta,2017-01-01 01:15,0.06725
delta,2017-01-01 01:30,0.07624
delta,2017-01-01 01:45,0.08490
delta,2017-01-01 02:00,0.09319
delta,2017-01-01 02:15,0.10107
delta,2017-01-01 02:30,0.10852
delta,2017-01-01 02:45,0.11548
delta,2017-01-01 03:00,0.12197
delta,2017-01-01 03:15,0.12791
delta,2017-01-01 03:30,0.13331
delta,2017-01-01 03:45,0.13812
delta,2017-01-01 04:00,0.14235
delta,2017-01-01 04:15,0.14596
delta,2017-01-01 04:30,0.14895
delta,2017-01-01 04:45,0.15128
delta,2017-01-01 05:00,0.15297
delta,2017-01-01 05:15,0.15400
delta,2017-01-01 05:30,0.15436
delta,2017-01-01 05:45,0.15406
delta,2017-01-01 06:00,0.15310
delta,2017-01-01 06:15,0.15149
delta,2017-01-01 06:30,0.14921
delta,2017-01-01 06:45,0.14630
delta,2017-01-01 07:00,0.14275
delta,2017-01-01 07:15,0.13859
delta,2017-01-01 07:30,0.13384
delta,2017-01-01 07:45,0.12851
delta,2017-01-01 08:00,0.12263
delta,2017-01-01 08:15,0.11622
delta,2017-01-01 08:30,0.10931
delta,2017-01-01 08:45,0.10193
delta,2017-01-01 09:00,0.09412
delta,2017-01-01 09:15,0.08590
delta,2017-01-01 09:30,0.07730
delta,2017-01-01 09:45,0.06838
delta,2017-01-01 10:00,0.05916
delta,2017-01-01 10:15,0.04969
delta,2017-01-01 10:30,0.04001
delta,2017-01-01 10:45,0.03015
delta,2017-01-01 11:00,0.02016
delta,2017-01-01 11:15,0.01009
delta,2017-01-01 11:30,-0.00003
delta,2017-01-01 11:45,-0.01015
delta,2017-01-01 12:00,-0.02022
delta,2017-01-01 12:15,-0.03020
delta,2017-01-01 12:30,-0.04006
delta,2017-01-01 12:45,-0.04975
delta,2017-01-01 13:00,-0.05922
delta,2017-01-01 13:15,-0.06844
delta,2017-01-01 13:30,-0.07736
delta,2017-01-01 13:45,-0.08596
delta,2017-01-01 14:00,-0.09418
delta,2017-01-01 14:15,-0.10199
delta,2017-01-01 14:30,-0.10938
delta,2017-01-01 14:45,-0.11629
delta,2017-01-01 15:00,-0.12270
delta,2017-01-01 15:15,-0.12859
delta,2017-01-01 15:30,-0.13392
delta,2017-01-01 15:45,-0.13867
delta,2017-01-01 16:00,-0.14283
delta,2017-01-01 16:15,-0.14637
delta,2017-01-01 16:30,-0.14930
delta,2017-01-01 16:45,-0.15157
delta,2017-01-01 17:00,-0.15320
delta,2017-01-01 17:15,-0.15416
delta,2017-01-01 17:30,-0.15446
