CustomerID,datetime,Demand,EnergyCharge,DemandCharge,FacilityCharge,TotalCharge
g1L,2017-01-01 00:00,6.1400,0.2627,0.0000,0.0000,0.2627
g1L,2017-01-01 00:15,6.1300,0.2623,0.0000,0.0000,0.2623
g1L,2017-01-01 00:30,6.1100,0.2614,0.0000,0.0000,0.2614
g1L,2017-01-01 00:45,6.1000,0.2610,0.0000,0.0000,0.2610
g1L,2017-01-01 01:00,6.0900,0.2606,0.0000,0.0000,0.2606
g1L,2017-01-01 01:15,6.0800,0.2602,0.0000,0.0000,0.2602
g1L,2017-01-01 01:30,6.0600,0.2593,0.0000,0.0000,0.2593
g1L,2017-01-01 01:45,6.0500,0.2589,0.0000,0.0000,0.2589
g1L,2017-01-01 02:00,6.0400,0.2585,0.0000,0.0000,0.2585
g1L,2017-01-01 02:15,6.0300,0.2580,0.0000,0.0000,0.2580
g1L,2017-01-01 02:30,6.0200,0.2576,0.0000,0.0000,0.2576
g1L,2017-01-01 02:45,6.0100,0.2572,0.0000,0.0000,0.2572
g1L,2017-01-01 03:00,6.0100,0.2572,0.0000,0.0000,0.2572
g1L,2017-01-01 03:15,6.0000,0.2567,0.0000,0.0000,0.2567
g1L,2017-01-01 03:30,5.9900,0.2563,0.0000,0.0000,0.2563
g1L,2017-01-01 03:45,5.9800,0.2559,0.0000,0.0000,0.2559
g1L,2017-01-01 04:00,5.9800,0.2559,0.0000,0.0000,0.2559
g1L,2017-01-01 04:15,5.9700,0.2555,0.0000,0.0000,0.2555
g1L,2017-01-01 04:30,5.9700,0.2555,0.0000,0.0000,0.2555
g1L,2017-01-01 04:45,5.9700,0.2555,0.0000,0.0000,0.2555
g1L,2017-01-01 05:00,5.9600,0.2550,0.0000,0.0000,0.2550
g1L,2017-01-01 05:15,5.9600,0.2550,0.0000,0.0000,0.2550
g1L,2017-01-01 05:30,5.9600,0.2550,0.0000,0.0000,0.2550
g1L,2017-01-01 05:45,5.9600,0.2550,0.0000,0.0000,0.2550
g1L,2017-01-01 06:00,5.9600,0.2550,0.0000,0.0000,0.2550
g1L,2017-01-01 06:15,5.9600,0.2550,0.0000,0.0000,0.2550
g1L,2017-01-01 06:30,5.9700,0.2555,0.0000,0.0000,0.2555
g1L,2017-01-01 06:45,5.9700,0.2555,0.0000,0.0000,0.2555
g1L,2017-01-01 07:00,5.9700,0.2555,0.0000,0.0000,0.2555
g1L,2017-01-01 07:15,5.9800,0.2559,0.0000,0.0000,0.2559
g1L,2017-01-01 07:30,5.9800,0.2559,0.0000,0.0000,0.2559
g1L,2017-01-01 07:45,5.9900,0.2563,0.0000,0.0000,0.2563
g1L,2017-01-01 08:00,6.0000,0.2567,0.0000,0.0000,0.2567
g1L,2017-01-01 08:15,6.0000,0.2567,0.0000,0.0000,0.2567
g1L,2017-01-01 08:30,6.0100,0.2572,0.0000,0.0000,0.2572
g1L,2017-01-01 08:45,6.0200,0.2576,0.0000,0.0000,0.2576
g1L,2017-01-01 09:00,6.0300,0.2580,0.0000,0.0000,0.2580
g1L,2017-01-01 09:15,6.0400,0.2585,0.0000,0.0000,0.2585
g1L,2017-01-01 09:30,6.0500,0.2589,0.0000,0.0000,0.2589
g1L,2017-01-01 09:45,6.0600,0.2593,0.0000,0.0000,0.2593
g1L,2017-01-01 10:00,6.0700,0.2597,0.0000,0.0000,0.2597
g1L,2017-01-01 10:15,6.0800,0.2602,0.0000,0.0000,0.2602
g1L,2017-01-01 10:30,6.1000,0.2610,0.0000,0.0000,0.2610
g1L,2017-01-01 10:45,6.1100,0.2614,0.0000,0.0000,0.2614
g1L,2017-01-01 11:00,6.1200,0.2619,0.0000,0.0000,0.2619
g1L,2017-01-01 11:15,6.1300,0.2623,0.0000,0.0000,0.2623
g1L,2017-01-01 11:30,6.1400,0.2627,0.0000,0.0000,0.2627
g1L,2017-01-01 11:45,6.1600,0.2636,0.0000,0.0000,0.2636
g1L,2017-01-01 12:00,6.1700,0.2640,0.0000,0.0000,0.2640
g1L,2017-01-01 12:15,6.1800,0.2644,0.0000,0.0000,0.2644
g1L,2017-01-01 12:30,6.1900,0.2649,0.0000,0.0000,0.2649
g1L,2017-01-01 12:45,6.2100,0.2657,0.0000,0.0000,0.2657
g1L,2017-01-01 13:00,6.2200,0.2662,0.0000,0.0000,0.2662
g1L,2017-01-01 13:15,6.2300,0.2666,0.0000,0.0000,0.2666
g1L,2017-01-01 13:30,6.2400,0.2670,0.0000,0.0000,0.2670
g1L,2017-01-01 13:45,6.2500,0.2674,0.0000,0.0000,0.2674
g1L,2017-01-01 14:00,6.2600,0.2679,0.0000,0.0000,0.2679
g1L,2017-01-01 14:15,6.2700,0.2683,0.0000,0.0000,0.2683
g1L,2017-01-01 14:30,6.2800,0.2687,0.0000,0.0000,0.2687
g1L,2017-01-01 14:45,6.2900,0.2691,0.0000,0.0000,0.2691
g1L,2017-01-01 15:00,6.2900,0.2691,0.0000,0.0000,0.2691
g1L,2017-01-01 15:15,6.3000,0.2696,0.0000,0.0000,0.2696
g1L,2017-01-01 15:30,6.3100,0.2700,0.0000,0.0000,0.2700
g1L,2017-01-01 15:45,6.3100,0.2700,0.0000,0.0000,0.2700
