datetimestr,Demand,CustomerID
01APR2017:00:00,3373.0,1515
01APR2017:00:15,3415.0,1515
01APR2017:00:30,3404.5,1515
01APR2017:00:45,3350.8,1515
01APR2017:01:00,3375.7,1515
01APR2017:01:15,3434.4,1515
01APR2017:01:30,3425.1,1515
01APR2017:01:45,3389.1,1515
01APR2017:02:00,3417.8,1515
01APR2017:02:15,3505.1,1515
01APR2017:02:30,3522.3,1515
01APR2017:02:45,3528.5,1515
01APR2017:03:00,3595.5,1515
01APR2017:03:15,3793.8,1515
01APR2017:03:30,3900.6,1515
01APR2017:03:45,3937.9,1515
01APR2017:04:00,3981.6,1515
01APR2017:04:15,4301.2,1515
01APR2017:04:30,4371.3,1515
01APR2017:04:45,4394.7,1515
01APR2017:05:00,4442.9,1515
01APR2017:05:15,4434.8,1515
01APR2017:05:30,4495.7,1515
01APR2017:05:45,4524.4,1515
01APR2017:06:00,4596.0,1515
01APR2017:06:15,4542.7,1515
01APR2017:06:30,4567.5,1515
01APR2017:06:45,4581.9,1515
01APR2017:07:00,4645.8,1515
01APR2017:07:15,4632.1,1515
01APR2017:07:30,4654.4,1515
01APR2017:07:45,4692.2,1515
01APR2017:08:00,4719.3,1515
01APR2017:08:15,4723.6,1515
01APR2017:08:30,4780.9,1515
01APR2017:08:45,4806.2,1515
01APR2017:09:00,4845.5,1515
01APR2017:09:15,4834.7,1515
01APR2017:09:30,4859.4,1515
01APR2017:09:45,4899.5,1515
01APR2017:10:00,4930.2,1515
01APR2017:10:15,4865.4,1515
01APR2017:10:30,4912.2,1515
01APR2017:10:45,4952.0,1515
01APR2017:11:00,5036.6,1515
01APR2017:11:15,5003.0,1515
01APR2017:11:30,5009.0,1515
01APR2017:11:45,5092.4,1515
01APR2017:12:00,5124.8,1515
01APR2017:12:15,5042.4,1515
01APR2017:12:30,5039.8,1515
01APR2017:12:45,5065.0,1515
01APR2017:13:00,5112.7,1515
01APR2017:13:15,5062.2,1515
01APR2017:13:30,5084.4,1515
01APR2017:13:45,5124.1,1515
01APR2017:14:00,5131.8,1515
01APR2017:14:15,5029.0,1515
01APR2017:14:30,5065.9,1515
01APR2017:14:45,5020.2,1515
01APR2017:15:00,5067.3,1515
01APR2017:15:15,4982.1,1515
01APR2017:15:30,4934.5,1515
01APR2017:15:45,4946.1,1515
01APR2017:16:00,4936.9,1515
01APR2017:16:15,4853.1,1515
01APR2017:16:30,4827.6,1515
01APR2017:16:45,4802.2,1515
01APR2017:17:00,4814.6,1515
01APR2017:17:15,4748.7,1515
01APR2017:17:30,4771.4,1515
01APR2017:17:45,4739.1,1515
01APR2017:18:00,4710.6,1515
01APR2017:18:15,4615.8,1515
01APR2017:18:30,4570.4,1515
01APR2017:18:45,4543.3,1515
01APR2017:19:00,4539.0,1515
01APR2017:19:15,4429.6,1515
